combat,3,Shadowboxing: Flow 2,12,"HipHop, Alt"
flow,1,Touch to Calm,10,Ambient
groove,1,Arm Sculpt Grooves 3,14,Alt
groove,2,Core Strike: Wood Chop 2,7,Rock
combat,1,Morning Boost 2,13,Rock
combat,2,Gear Up 3,13,HipHop
combat,3,20 MIN Cardio Boxing 3,22,"Electronic, World"
groove,2,Country Rock Workout,14,"Rock, Pop"
groove,2,Low Impact Workout,13,Pop
combat,1,Happy Jabs 2,12,Rock
combat,2,Rave & Punch,17,Ekectronic
combat,3,Battle Rope Bootcamp 6,12,"Electronic, HipHop"
flow,1,Cosmic Light Waves,11,Ambient
groove,1,Old School Vibes 6,13,"HipHop, Pop"
groove,2,Cardio Dance Workout,14,"Electronic, Pop"
combat,1,Rock & Joy,12,Rock
combat,2,Strength in Solitude 2,13,Cinematic
combat,3,Lucid Dream,13,"Alt, Cinematic"
groove,2,Neon Beats,14,Pop
groove,3,1500 Step Cardio,14,"Pop, Electronic"
combat,1,Live It Up,13,"Rock, Pop"
combat,3,Let Out the Beast 3,59,"Rock, Cinematic"
combat,3,Punk Energy,14,Rock
groove,1,Road Trip Dream 3,14,"Folk, Pop"
groove,2,12 MIN Cardio Fit 3,13,"Electronic, Pop"
combat,1,Take It Easy,14,"Pop, Electronic"
combat,2,Low Impact Cardio 3,31,"Pop, Electronic"
combat,3,15MIN MetCon Blast,15,"Electronic, World"
groove,2,Summer Fizz Moves,14,Pop
groove,3,Top Cheerleader! 2,14,Pop
combat,1,Energetic Beats 2,12,"Rock, Pop"
combat,2,Legendary Rise: Speed,10,"HipHop, Cinematic"
combat,3,Phantom Symphony,14,"Cinematic, Alt"
groove,1,Post-Meal Walk 2,18,Pop
groove,3,Dancehall Heat 4,12,"World, Pop"
combat,1,30 MIN Cardio Boxing,31,"Electronic, Pop"
combat,2,5 MIN Fast Burning 10,6,Electronic
combat,3,Shadowboxing: Speed,11,"HipHop, Cinematic"
groove,2,Coastal Sunday 3,15,"Rock, Pop"
groove,3,Full Body: Core Focus,13,"Pop, Electronic"
combat,1,Boxing Dance 2,12,"Pop, World"
combat,2,Let It All Burn,13,Rock
combat,3,15 MIN Cardio Boxing 5,16,"Electronic, HipHop"
flow,1,Seated Spine Mobility,10,"Ambient, World"
groove,2,CheerFit Flow 2,13,"Pop, Electronic"
groove,2,Groove Spell,12,"Pop, Electronic"
combat,2,Warrior of the Dawn,14,"Cinematic, Electronic"
combat,3,Crazy Reaction Challenge,12,"HipHop, Rock"
groove,1,Bossa Nova Basic,9,"World, R&B"
groove,2,12 MIN Cardio Fit 4,14,"Electronic, Pop"
groove,3,HIIT Groove 3,14,"Pop, World"
flow,1,From Past to Possible,10,Ambient
combat,3,Snowball Blocking 2,7,Pop
combat,2,5 MIN Core Twist,7,Pop
combat,2,Crackling Chestnuts,10,Classical
combat,3,Alt-Rock Cardio Boxing,15,"Rock, Alt"
groove,2,Rockbeat Haven,13,Rock
groove,3,Phoenix Nirvana,12,"Cinematic, Electronic"
combat,1,Dive Bar Vintage,12,"Rock, Alt"
combat,2,Rise To Power,12,HipHop
combat,3,Festive Party Animal,14,"Electronic, Pop"
groove,1,Post-Meal Walk 3,17,"Pop, Rock"
groove,2,Carefree Fiesta 6,13,"Pop, World"
combat,1,20 MIN Cardio Boxing 4,18,"Electronic, Pop"
combat,2,Mirror Hunt,20,"Cinematic, Pop"
combat,3,East Meets West,15,"Pop, Electronic"
groove,2,Feel Good Boost 2,14,"Pop, Rock"
groove,2,Get Funky 6,12,Pop
combat,1,Tropical Beats 4,13,"HipHop, World"
combat,2,Happy Jabs 3,16,"Pop, Rock"
combat,3,12 MIN Cardio Party,12,"Pop, Electronic"
groove,1,500 Steps Cardio 2,13,"Alt, Pop"
groove,3,Powerball Ninja,13,"Pop, Electronic"
combat,2,Arena Ascension 2,13,HipHop
combat,3,Battle Rope Bootcamp 7,15,"HipHop, Elec"
combat,3,Latino Fuego,13,"World, Pop"
flow,1,Keys to Balance,11,Cinematic
groove,2,Case: Shadow Run,12,"Cinematic, HipHop"
combat,1,Own the Drop 3,19,"Electronic, Rock"
combat,2,Power Duo,13,"Rock, Electronic"
combat,3,Arcade Punch 2,16,"Rock, Alt"
groove,2,5 MIN Abs Blast 3,8,Pop
groove,3,12 MIN Cardio Fit 5,14,Electronic
combat,1,Cardio Boxing: Endurance,18,"Electronic, Pop"
combat,2,Elbow Concerto: Forte,13,"Cinematic, Electronic"
combat,3,Turn Up the Fight,13,HipHop
groove,2,Full Body Burn 4,13,"Electronic, Pop"
groove,3,Heartbeat on Fire 2,13,"Electronic, Pop"
combat,2,Cat On the Keys 2,13,"Electronic, Pop"
combat,3,Metal Combat: Trial,14,"Rock, Alt"
combat,3,On My Way,15,Pop
groove,1,Easy Groove,12,Pop
groove,3,HIIT Groove 4,13,"HipHop, Rock"
combat,1,"Ski, Glide, Flow",7,Pop
combat,2,Own the Drop 4,16,"Electronic, Pop"
combat,3,Unapologetic Queen 2,13,"Electronic, Pop"
groove,1,Merry-Go-Wonderland 2,13,Pop
groove,2,Full Body: Core Focus 2,12,"Pop, Electronic"
combat,2,Digital Adventure,14,"Electronic, Pop"
combat,3,Bring the Boom,14,"Pop, HipHop"
combat,3,Void of Chaos 3,14,Rock
flow,1,Qi Gong 2,11,"Ambient, World"
groove,3,Full Body Burn 5,14,"Pop, Electronic"
combat,2,Conductor of the Ring,11,Cinematic
combat,3,12 MIN Cardio Party 2,13,"Pop, World"
combat,3,Power Duo 2,14,"Pop, HipHop"
groove,1,Arms & Core Fusion,13,Pop
groove,2,Code of the Blades,12,"HipHop, Cinematic"
